Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
351380105000154;1;0;436790;436790;0;0;4;16;58;54;25;9;4;2;31;
351380105000155;1;1;647122;647122;0;1;6;15;70;93;50;19;9;0;8;
351380105000156;1;0;403346;403346;0;0;4;29;96;77;13;5;0;0;29;
351380105000157;1;0;176731;176731;0;2;6;20;31;13;3;0;0;1;3;
351380105000158;1;0;232126;232126;0;3;7;23;52;44;7;2;0;0;3;
351380105000159;1;1;725172;724502;670;4;24;102;187;133;29;11;2;0;13;
351380105000160;1;0;504714;504714;0;0;1;12;51;76;34;16;10;1;13;
351380105000161;1;0;884017;884017;0;2;0;12;38;112;55;38;18;4;6;
351380105000162;1;0;776981;776981;0;1;2;15;63;81;42;30;15;3;21;
351380105000163;1;0;915208;915208;0;0;6;32;103;115;60;34;2;2;16;
351380105000164;1;0;812692;812692;0;0;7;40;94;114;51;25;4;1;18;
351380105000165;1;0;302196;302196;0;1;5;33;66;74;12;3;0;0;7;
351380105000166;1;0;325354;325354;0;1;7;35;62;64;14;7;1;0;34;
351380105000167;1;0;193009;193009;0;0;4;34;50;29;4;1;0;0;13;
351380105000168;1;0;516340;516340;0;3;8;41;90;99;27;8;2;0;19;
351380105000169;1;0;672289;672289;0;2;5;32;87;135;40;14;5;0;7;
351380105000170;1;0;179548;179548;0;2;9;24;58;31;5;1;0;0;14;
351380105000171;1;0;304589;304589;0;4;3;36;88;60;7;2;0;0;5;
351380105000172;1;0;502138;502138;0;6;23;97;128;94;15;0;2;0;74;
351380105000173;1;0;219608;219608;0;0;19;57;72;28;1;1;0;0;13;
351380105000174;1;0;296057;296057;0;0;4;27;58;58;13;2;0;0;4;
351380105000175;1;0;582749;582749;0;2;7;42;110;105;24;10;3;0;12;
351380105000176;1;0;676281;676281;0;0;9;36;68;97;44;23;4;2;18;
351380105000177;1;0;474105;474105;0;0;6;28;84;91;22;8;4;1;27;
351380105000178;1;0;226961;226961;0;4;3;29;60;48;7;5;0;0;10;
351380105000179;1;0;137375;137375;0;2;4;6;26;26;6;1;0;0;4;
351380105000180;1;0;333322;333322;0;2;7;22;76;68;10;6;4;0;8;
351380105000181;1;0;537832;537832;0;1;10;37;80;116;26;13;3;0;7;
